"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine";"sep";"dec"
"yorkshire and the humber";2;2014;0;0.856404011461318;0.856404011461318;0.903793103448276;0.937003668976763;"MMR";";";"."
"yorkshire and the humber";2;2015;0;0.859020866773676;0.859020866773676;0.916459438968916;0.912442244224422;"MMR";";";"."
"yorkshire and the humber";2;2016;0;0.863116839638433;0.863116839638433;0.912765598650927;0.921252469379692;"MMR";";";"."
"yorkshire and the humber";2;2017;0;0.850397946084724;0.850397946084724;0.915088339222615;0.918246412320616;"MMR";";";"."
"yorkshire and the humber";2;2018;0;0.878945811796423;0.878945811796423;0.904075560013373;0.919101707498144;"MMR";";";"."
"yorkshire and the humber";2;2019;0;0.880150014596359;0.880150014596359;0.934404440337128;0.908437025796662;"MMR";";";"."
"east midlands";1;2005;0.7035;0.9315;0.940124004602077;0.954177916967733;0.965593868086568;"MMR";";";"."
"east midlands";1;2006;0.704625;0.938;0.945368418786367;0.949215346685782;0.955738759930762;"MMR";";";"."
"east midlands";1;2007;0.700310559006211;0.9395;0.949042484739521;0.955355942026513;0.95089511601571;"MMR";";";"."
"east midlands";1;2008;0.701878612716763;0.933747412008282;0.95143990071186;0.956994874601971;0.957201295008094;"MMR";";";"."
"east midlands";1;2009;0.696369179600887;0.935838150289017;0.962962962962963;0.96003857642837;0.958464204483916;"MMR";";";"."
"east midlands";1;2010;0.709897610921502;0.928492239467849;0.956680902989628;0.984090909090909;0.96162731785;"MMR";";";"."
"east midlands";1;2011;0.720219435736677;0.946530147895336;0.958161461402475;0.968427835051546;0.988038277511962;"MMR";";";"."
"east midlands";1;2012;0.725168132436627;0.960292580982236;0.967153284671533;0.973684210526316;0.976351351351351;"MMR";";";"."
"east midlands";1;2013;0.722595378828587;0.966890843248836;0.979271708683473;0.974126778783959;0.981033355134075;"MMR";";";"."
"east midlands";1;2014;0.720670391061452;0.963460505104782;0.978782802903406;0.987886129618413;0.981582537517053;"MMR";";";"."
"east midlands";1;2015;0.721227621483376;0.960893854748603;0.976851851851852;0.985422740524781;0.988461538461539;"MMR";";";"."
"east midlands";1;2016;0.7259037804375;0.961636828644501;0.976854599406528;0.980511571254568;0.986738999397227;"MMR";";";"."
"east midlands";1;2017;0.724103212725;0.96787170725;0.976910390324354;0.983208955223881;0.982932996207333;"MMR";";";"."
"east midlands";1;2018;0.7199596699875;0.9654709503;0.97499087923916;0.983749274521184;0.985833869929169;"MMR";";";"."
"east midlands";1;2019;0.721281704025;0.95994622665;0.97351467227244;0.97815417403935;0.986805555555556;"MMR";";";"."
"east midlands";2;2005;0;0.79819707288655;0.79819707288655;0.88444586426687;0.8860718697719;"MMR";";";"."
"east midlands";2;2006;0;0.811952692322097;0.811952692322097;0.875677122849227;0.883978965419717;"MMR";";";"."
"east midlands";2;2007;0;0.829958267928748;0.829958267928748;0.890751462825703;0.875214801266526;"MMR";";";"."
"east midlands";2;2008;0;0.837346365600259;0.837346365600259;0.910483192788033;0.890281272469454;"MMR";";";"."
"east midlands";2;2009;0;0.852745098039216;0.852745098039216;0.918579570897474;0.910002702510526;"MMR";";";"."
"east midlands";2;2010;0;0.816723611958511;0.816723611958511;0.935454545454545;0.918094854327738;"MMR";";";"."
"east midlands";2;2011;0;0.837967000589275;0.837967000589275;0.906881443298969;0.934976076555024;"MMR";";";"."
"east midlands";2;2012;0;0.844622871046229;0.844622871046229;0.92734335839599;0.916351351351351;"MMR";";";"."
"east midlands";2;2013;0;0.831456582633053;0.831456582633053;0.922729624838292;0.93375408763898;"MMR";";";"."
"east midlands";2;2014;0;0.845946398659966;0.845946398659966;0.917922471229558;0.930654843110505;"MMR";";";"."
"east midlands";2;2015;0;0.865578703703704;0.865578703703704;0.91536443148688;0.921410256410256;"MMR";";";"."
"east midlands";2;2016;0;0.880207715133531;0.880207715133531;0.929098660170524;0.917667269439421;"MMR";";";"."
"east midlands";2;2017;0;0.875101704233095;0.875101704233095;0.926567164179104;0.936902654867257;"MMR";";";"."
"east midlands";2;2018;0;0.869080316107424;0.869080316107424;0.931961694718514;0.932047649710238;"MMR";";";"."
